Source IP, Dest IP, Source Port, Dest Port,source mac, dest mac, Duration, Total Bytes,Total Pkts, FlowsCount, TCPCount, UDPCount,AvgBytes, AvgPkts, AvgTCPpkts, AvgUDPpkts,FIN,SYN,RESET,PSH,ACK,URG,ECN,CWR,NS,RES
10.87.2.252,52.66.109.70,44516,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.0,66,1,6,1,0,66.0,0.16666666666666666,1.0,0.0,0,0,0,0,1,0,0,0,0,0
52.66.109.70,10.87.2.252,443,44516,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.0,66,1,6,1,0,66.0,0.16666666666666666,1.0,0.0,0,0,0,0,1,0,0,0,0,0
10.87.2.252,142.250.183.174,57367,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.000533,3936,4,6,0,4,984.0,0.6666666666666666,0.0,1.0,0,0,0,0,0,0,0,0,0,0
142.250.183.174,10.87.2.252,443,57367,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.036493,3594,5,6,0,5,718.8,0.8333333333333334,0.0,1.0,0,0,0,0,0,0,0,0,0,0
10.87.2.252,142.250.183.174,57367,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.0,120,1,6,0,1,120.0,0.16666666666666666,0.0,1.0,0,0,0,0,0,0,0,0,0,0
10.87.2.252,142.250.183.174,57367,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.029430,225,3,6,0,3,75.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0
142.250.183.174,10.87.2.252,443,57367,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.043623,558,3,6,0,3,186.0,0.5,0.0,1.0,0,0,0,0,0,0,0,0,0,0
10.87.2.252,142.250.183.174,57367,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.027347,152,2,6,0,2,76.0,0.3333333333333333,0.0,1.0,0,0,0,0,0,0,0,0,0,0
142.250.183.174,10.87.2.252,443,57367,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.028251,134,2,6,0,2,67.0,0.3333333333333333,0.0,1.0,0,0,0,0,0,0,0,0,0,0
10.87.2.252,91.108.56.186,47290,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.0,251,1,6,1,0,251.0,0.16666666666666666,1.0,0.0,0,0,0,1,1,0,0,0,0,0
91.108.56.186,10.87.2.252,443,47290,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.0,66,1,6,1,0,66.0,0.16666666666666666,1.0,0.0,0,0,0,0,1,0,0,0,0,0
10.87.2.252,69.20.59.72,37360,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.0,54,1,6,1,0,54.0,0.16666666666666666,1.0,0.0,1,0,0,0,1,0,0,0,0,0
10.87.2.252,8.8.4.4,50127,53,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.0,74,1,6,0,1,74.0,0.16666666666666666,0.0,1.0,0,0,0,0,0,0,0,0,0,0
8.8.4.4,10.87.2.252,53,50127,08:55:31:eb:74:e4,2c:6e:85:1f:bf:12,0.0,441,1,6,0,1,441.0,0.16666666666666666,0.0,1.0,0,0,0,0,0,0,0,0,0,0
10.87.2.252,20.207.73.85,49580,443,2c:6e:85:1f:bf:12,08:55:31:eb:74:e4,0.038136,140,2,6,2,0,70.0,0.3333333333333333,1.0,0.0,0|0,1|0,0|0,0|0,0|1,0|0,0|0,0|0,0|0,0|0
